,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
158,6.758193016382671,4.574732161565329,7.019979987821576e-08,8.164595676815578,308.1867489920848,0.0,-4.3930246376821165e-08,1.0471174918509853e-08,-4.577951006557295e-09,1.105184758517482e-06,1.4813341678225443e-07,6.878375176164372e-09,2.8122644041057094e-07,5.143680587162538e-09,9.134769507863045e-07,-8.656738459363199e-13,-5.55008506914771e-12,-1.4993649045770721e-10,825.5208333333333
159,6.758192134295558,4.574731978810013,7.123676370519718e-08,8.164594837132624,308.19787748152623,0.0,-8.159544945733822e-08,1.811542709798332e-08,-6.5069677203550045e-09,1.0766968511597164e-06,1.3832734303442945e-07,9.074876823638879e-09,2.645923516970678e-07,5.891458975726816e-09,8.911079690497316e-07,1.1403557147782657e-11,-6.4689120962747365e-12,-1.364093229901795e-10,830.7291666666666
160,6.758192231524411,4.57473192039851,7.322218608034509e-08,8.164594885322256,308.2187884173028,0.0,-1.1477604576851256e-07,1.4157077640102329e-08,-5.788299648152539e-09,1.0533791115831602e-06,1.2758689413418135e-07,1.1324414276051886e-08,2.465389503419494e-07,7.043457281945014e-09,8.678238528489738e-07,2.377250143323551e-11,-7.324744172534827e-12,-1.2304558818117718e-10,835.9375
161,6.758192981019593,4.574732007463673,7.340384015797968e-08,8.164595559728378,308.2299185196838,0.0,-8.039040851286628e-08,8.382908547098655e-09,-2.892974574591607e-09,1.0375859473390086e-06,1.1912189114406129e-07,1.2857722031256941e-08,2.326227468585617e-07,7.758987506740165e-09,8.434400781755981e-07,3.051561362884335e-11,-7.591776677657678e-12,-1.0997367865407696e-10,841.1458333333333
162,6.758192978381851,4.574731980738137,7.373031726841767e-08,8.164595542215698,308.24146045426835,0.0,-1.0103483449138168e-07,9.067362402225568e-09,-2.691903720333702e-09,1.021279585028055e-06,1.1184094252842355e-07,1.3782305434394961e-08,2.2016893354338793e-07,8.162344035534368e-09,8.186608335721983e-07,3.436555781917314e-11,-7.449985238930734e-12,-9.74365848133825e-11,846.3541666666666
163,6.75819270926243,4.574731889500546,7.361689159042321e-08,8.16459526619225,308.2540275719687,0.0,-1.1981556575132442e-07,8.005879702790263e-09,-2.1353010417809124e-09,1.0081071948954455e-06,1.0439674487648901e-07,1.442154569504388e-08,2.0730405410302912e-07,8.69195215854452e-09,7.935634791146749e-07,3.7038990553362854e-11,-7.166513850540216e-12,-8.555333247886232e-11,851.5625
164,6.7581926266408,4.574731835576055,7.317071931984648e-08,8.164595166892271,308.2669432260897,0.0,-1.365720233987233e-07,5.6938414381704465e-09,-1.4713141420430443e-09,9.992181687388632e-07,9.726047450668104e-08,1.4713853165502459e-08,1.9491907460446776e-07,9.257513906882235e-09,7.67809221987042e-07,3.815919537295365e-11,-6.720300396826148e-12,-7.437769903489641e-11,856.7708333333333
165,6.758192590978778,4.574731792349639,7.245195222045135e-08,8.164595112917857,308.27995123519344,0.0,-1.5332308114952692e-07,2.743282530307793e-09,-7.942303772330003e-10,9.953649913164246e-07,9.071111672388384e-08,1.4659108366486841e-08,1.8346740589394367e-07,9.811529699078856e-09,7.412355462254528e-07,3.792902281844651e-11,-6.182500422159556e-12,-6.397167115741669e-11,861.9791666666666
166,6.758192567335155,4.574731753561531,7.14210873054176e-08,8.164595071595562,308.29296630798206,0.0,-1.709530746431491e-07,-7.360733690143686e-10,-1.9031825718455303e-10,9.972128549026923e-07,8.488929268606839e-08,1.4274025079616312e-08,1.7314907363283818e-07,1.0346846859749976e-08,7.137644385602078e-07,3.691012401343171e-11,-5.608007241736892e-12,-5.438599001426022e-11,867.1875
167,6.7581925516852905,4.574731719229991,7.031523990815032e-08,8.164595039594442,308.30599191225537,0.0,-1.893511000488574e-07,-4.66682259177615e-09,3.772239149809475e-10,1.0055026344537727e-06,7.990364970017644e-08,1.3599466815502752e-08,1.6413427632704773e-07,1.0860760356963586e-08,6.853470012269585e-07,3.589935665489781e-11,-5.0193962956466556e-12,-4.5653526344773e-11,872.3958333333333
168,6.7581925449651115,4.574731690220548,6.920460675480882e-08,8.16459501819439,308.31900623790153,0.0,-2.0851821240019042e-07,-9.051947079783886e-09,8.478192005762495e-10,1.020954200826134e-06,7.586306555482694e-08,1.2673818977434301e-08,1.5660785453039855e-07,1.1357658147834402e-08,6.559480909708398e-07,3.584878977013485e-11,-4.4378442818767855e-12,-3.77904476311866e-11,877.6041666666666
169,6.758192549171271,4.574731668042578,6.83435546258744e-08,8.164595009914141,308.33203348557726,0.0,-2.2817354816835676e-07,-1.3813669259186378e-08,1.267667552140442e-09,1.0443576465715414e-06,7.286694865362319e-08,1.1553962256685149e-08,1.5081598829002347e-07,1.183684829668902e-08,6.255421132941146e-07,3.783377037586374e-11,-3.865492424445463e-12,-3.079856295387074e-11,882.8125
170,6.758192566826535,4.574731654467974,6.788239034330135e-08,8.164595017849487,308.34504814690297,0.0,-2.4798412680254806e-07,-1.892180313500758e-08,1.5882589333965306e-09,1.0764379791219924e-06,7.101609593760685e-08,1.0285917634114666e-08,1.4704917781382215e-07,1.2301365125136931e-08,5.941137255370994e-07,4.2977420867950187e-11,-3.3039896736368077e-12,-2.4666651880389444e-11,888.0208333333333
171,6.75819260056733,4.5747316509192455,6.768529086774075e-08,8.164595045003123,308.3580768928786,0.0,-2.6765904630739645e-07,-2.4251333234355772e-08,1.8451825487339221e-09,1.117877830606115e-06,7.040187033445754e-08,8.925569922766292e-09,1.4563380934207228e-07,1.2748698262147451e-08,5.61662803335047e-07,5.2284747923220714e-11,-2.74005831266749e-12,-1.9371164414908082e-11,893.2291666666666
172,6.758192651849381,4.574731658840325,6.783446876176348e-08,8.164595093385337,308.3710891601291,0.0,-2.8667745683836246e-07,-2.9718130179666766e-08,2.0047589495193734e-09,1.1691964236022133e-06,7.111038511302612e-08,7.518271955061829e-09,1.4688233244696125e-07,1.3177062623858193e-08,5.282126818804474e-07,6.66719040034736e-11,-2.1686283130174536e-12,-1.4876951449830732e-11,898.4375
